family,scale,mode,label,dataset,metric,n_sequences,mean,std_between_seq,t_ci_low,t_ci_high,boot_ci_low,boot_ci_high
yolo11,x,nms,YOLO11-X,SOMPT22,MOTA,3,26.74813333333333,11.058975768728917,-0.723885427099269,54.22015209376593,18.7212,39.3626
yolo26,l,end2end,YOLO26-L (E2E),MOT17,MOTA,3,30.9144,19.620891001175252,-17.82659527416213,79.65539527416213,18.1028,53.5028
yolo26,l,end2end,YOLO26-L (E2E),MOT20,MOTA,3,5.203847999999999,7.95402571233762,-14.555047232249665,24.962743232249665,0.288452,14.380599999999996
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,MOTA,3,26.17526666666667,10.382545935045668,0.3835927654396336,51.9669405678937,18.675,38.0252
yolo26,l,nms,YOLO26-L (NMS),MOT17,MOTA,3,31.123666666666665,19.116471049158978,-16.36427998213255,78.61161331546589,19.199199999999998,53.173
yolo26,l,nms,YOLO26-L (NMS),MOT20,MOTA,3,5.814600666666666,8.687632550968148,-15.766674979023033,27.395876312356368,0.39372200000000007,15.834999999999999
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,MOTA,3,27.46653333333333,11.66498877381943,-1.510905186855755,56.44397185352241,19.8396,40.8948
yolo26,m,end2end,YOLO26-M (E2E),MOT17,MOTA,3,31.53046666666667,18.86823923139977,-15.340837962380562,78.4017712957139,18.7098,53.196400000000004
yolo26,m,end2end,YOLO26-M (E2E),MOT20,MOTA,3,4.994334666666667,8.037159808390358,-14.971077108719879,24.959746442053213,0.0,14.265600000000001
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,MOTA,3,24.737800000000004,11.00396409118096,-2.597562177649067,52.073162177649074,17.406399999999998,37.391
yolo26,m,nms,YOLO26-M (NMS),MOT17,MOTA,3,30.977533333333337,17.716645516951942,-13.033053921039407,74.98812058770608,19.6254,51.3922
yolo26,m,nms,YOLO26-M (NMS),MOT20,MOTA,3,5.291016,8.532697468663,-15.905379564862343,26.48741156486234,-0.020732,15.1334
yolo26,m,nms,YOLO26-M (NMS),SOMPT22,MOTA,3,25.873,11.899888172583807,-3.6879609751271545,55.43396097512716,17.9886,39.5612
yolo26,n,end2end,YOLO26-N (E2E),MOT17,MOTA,3,26.92086666666667,18.235448763694666,-18.378499297918182,72.22023263125152,15.969400000000002,47.9716
yolo26,n,end2end,YOLO26-N (E2E),MOT20,MOTA,3,5.047264666666667,7.423951955347323,-13.39485435583422,23.489383689167553,0.20153400000000002,13.5942
yolo26,n,end2end,YOLO26-N (E2E),SOMPT22,MOTA,3,22.69513333333333,11.437264913139565,-5.716607756675526,51.10687442334219,14.349799999999997,35.7322
yolo26,n,nms,YOLO26-N (NMS),MOT17,MOTA,3,26.544533333333334,18.07837436201976,-18.364638186500265,71.45370485316693,15.789999999999997,47.41639999999999
yolo26,n,nms,YOLO26-N (NMS),MOT20,MOTA,3,4.453321333333333,6.793119061662716,-12.421721908153033,21.3283645748197,0.069004,12.2784
yolo26,n,nms,YOLO26-N (NMS),SOMPT22,MOTA,3,22.480866666666667,11.89418697403624,-7.065931746146298,52.02766507947963,13.931999999999997,36.0644
yolo26,s,end2end,YOLO26-S (E2E),MOT17,MOTA,3,30.767799999999998,17.761994875576335,-13.355441306335283,74.89104130633528,19.525399999999998,51.2448
yolo26,s,end2end,YOLO26-S (E2E),MOT20,MOTA,3,5.314589333333333,8.551301560404786,-15.928021357417641,26.55720002408431,0.03772,15.1808
yolo26,s,end2end,YOLO26-S (E2E),SOMPT22,MOTA,3,27.294999999999998,13.196727307935099,-5.487487977326996,60.077487977326996,18.631999999999998,42.4832
yolo26,s,nms,YOLO26-S (NMS),MOT17,MOTA,3,30.407866666666667,17.545285037677026,-13.177037558835647,73.99277089216898,18.293,50.528
yolo26,s,nms,YOLO26-S (NMS),MOT20,MOTA,3,5.258572333333334,8.57043835517941,-16.03157679099931,26.548721457665977,0.018411,15.149000000000001
yolo26,s,nms,YOLO26-S (NMS),SOMPT22,MOTA,3,28.262400000000003,15.107249156613523,-9.26608735075202,65.79088735075203,19.066200000000002,45.698
yolo26,x,end2end,YOLO26-X (E2E),MOT17,MOTA,3,31.796400000000002,19.74768530030798,-17.259569774272702,80.8523697742727,17.5192,54.3328
yolo26,x,end2end,YOLO26-X (E2E),MOT20,MOTA,3,4.839685933333333,7.617062925247553,-14.082147332049402,23.761519198716066,0.08896180000000002,13.625399999999999
yolo26,x,end2end,YOLO26-X (E2E),SOMPT22,MOTA,3,23.490866666666665,8.588170432247683,2.156668620981062,44.82506471235227,17.5052,33.331
yolo26,x,nms,YOLO26-X (NMS),MOT17,MOTA,3,32.422066666666666,19.2366392723192,-15.364394397038879,80.20852773037221,18.7714,54.422799999999995
yolo26,x,nms,YOLO26-X (NMS),MOT20,MOTA,3,5.606733999999999,8.489346098096602,-15.481970790382285,26.695438790382283,0.231702,15.393600000000001
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,MOTA,3,25.009466666666665,9.641466972060488,1.0587349647759403,48.960198368557386,18.866,36.12179999999999
rtdetr,l,nms,RT-DETR-L,MOT17,IDSW,3,36.733333333333334,35.916755607005115,-52.48883375374818,125.95550042041485,8.0,77.0
rtdetr,l,nms,RT-DETR-L,MOT20,IDSW,3,21.333333333333332,34.35597958628648,-64.01165118108543,106.67831784775208,1.0,61.0
rtdetr,l,nms,RT-DETR-L,SOMPT22,IDSW,3,35.93333333333333,11.264694107401823,7.950281889804739,63.91638477686192,23.2,44.6
rtdetr,x,nms,RT-DETR-X,MOT17,IDSW,3,35.46666666666667,30.04418967676335,-39.16723792836112,110.10057126169445,11.0,69.0
rtdetr,x,nms,RT-DETR-X,MOT20,IDSW,3,29.266666666666666,46.385486235818775,-85.9612689696066,144.49460230293994,1.0,82.8
rtdetr,x,nms,RT-DETR-X,SOMPT22,IDSW,3,36.0,13.527749258468683,2.3952079119353797,69.60479208806461,22.0,49.0
yolo11,l,nms,YOLO11-L,MOT17,IDSW,3,24.2,26.79776110050987,-42.3693289402526,90.7693289402526,4.0,54.6
yolo11,l,nms,YOLO11-L,MOT20,IDSW,3,9.666666666666666,15.885003409925142,-29.793869355210965,49.127202688544294,0.0,28.0
yolo11,l,nms,YOLO11-L,SOMPT22,IDSW,3,36.666666666666664,12.662279942148386,5.211819545636072,68.12151378769725,23.0,48.0
yolo11,m,nms,YOLO11-M,MOT17,IDSW,3,24.666666666666668,24.70492528491704,-36.70376989957002,86.03710323290335,2.0,51.0
yolo11,m,nms,YOLO11-M,MOT20,IDSW,3,22.8,33.6113076210968,-60.69511680280783,106.29511680280783,0.0,61.4
yolo11,m,nms,YOLO11-M,SOMPT22,IDSW,3,46.6,19.02524638473836,-0.6613320196701835,93.86133201967019,25.2,61.6
yolo11,n,nms,YOLO11-N,MOT17,IDSW,3,22.666666666666668,18.58314648635514,-23.496428323068773,68.82976165640211,10.0,44.0
yolo11,n,nms,YOLO11-N,MOT20,IDSW,3,34.53333333333333,44.9427784336186,-77.11071744445806,146.17738411112472,1.0,85.59999999999998
yolo11,n,nms,YOLO11-N,SOMPT22,IDSW,3,47.866666666666674,22.404761398714633,-7.789846046648421,103.52317937998177,22.0,61.20000000000001
yolo11,s,nms,YOLO11-S,MOT17,IDSW,3,22.333333333333332,18.77054430040145,-24.29528363337413,68.9619503000408,11.0,44.0
yolo11,s,nms,YOLO11-S,MOT20,IDSW,3,44.666666666666664,47.899199714956964,-74.32154170791858,163.65487504125193,3.0,97.0
yolo11,s,nms,YOLO11-S,SOMPT22,IDSW,3,54.0,28.583211855912904,-17.004634494222373,125.00463449422237,22.0,77.0
yolo11,x,nms,YOLO11-X,MOT17,IDSW,3,27.0,26.664583251946766,-39.238496824267216,93.23849682426722,6.0,57.0
yolo11,x,nms,YOLO11-X,MOT20,IDSW,3,11.333333333333334,18.77054430040145,-35.295283633374126,57.9619503000408,0.0,33.0
yolo11,x,nms,YOLO11-X,SOMPT22,IDSW,3,39.06666666666667,10.004665578285628,14.213699610196915,63.91963372313643,30.0,49.79999999999999
yolo26,l,end2end,YOLO26-L (E2E),MOT17,IDSW,3,23.53333333333333,24.87917469156349,-38.26996275520392,85.33662942187058,3.0,51.20000000000001
yolo26,l,end2end,YOLO26-L (E2E),MOT20,IDSW,3,18.333333333333332,25.73583752927682,-45.59803121662266,82.26469788328933,2.0,48.0
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,IDSW,3,51.6,10.40576763146285,25.75064020697222,77.44935979302778,41.0,61.79999999999999
yolo26,l,nms,YOLO26-L (NMS),MOT17,IDSW,3,20.666666666666668,23.71356854910988,-38.241103246353745,79.57443657968707,1.0,47.0
yolo26,l,nms,YOLO26-L (NMS),MOT20,IDSW,3,12.666666666666666,19.347695814575268,-35.395674141793776,60.729007475127105,1.0,35.0
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,IDSW,3,41.666666666666664,13.051181300301261,9.24573501569759,74.08759831763574,27.0,52.0
yolo26,m,end2end,YOLO26-M (E2E),MOT17,IDSW,3,24.0,26.90724809414742,-42.84130971009381,90.84130971009381,2.0,54.0
yolo26,m,end2end,YOLO26-M (E2E),MOT20,IDSW,3,12.799999999999999,21.310091506138587,-40.13720195124925,65.73720195124925,0.0,37.4
