family,scale,mode,label,dataset,metric,mean,std,n,ci_low,ci_high,ci_half_width
yolo26,x,nms,YOLO26-X (NMS),MOT17,IDF1,44.13986666666667,13.481357492407627,15,36.674139732134094,51.605593601199246,7.465726934532578
yolo26,x,nms,YOLO26-X (NMS),MOT20,IDF1,9.47933933333333,11.038585985478695,15,3.3663741695985916,15.592304497068069,6.112965163734739
yolo26,x,nms,YOLO26-X (NMS),SOMPT22,IDF1,33.16393333333334,6.815561673391969,15,29.389601083211904,36.93826558345477,3.7743322501214354
rtdetr,l,nms,RT-DETR-L,MOT17,MOTA,34.74693333333333,14.392068581919235,15,26.776871407730795,42.71699525893587,7.970061925602536
rtdetr,l,nms,RT-DETR-L,MOT20,MOTA,7.207676666666665,9.132067879140962,15,2.1505060388809696,12.26484729445236,5.057170627785696
rtdetr,l,nms,RT-DETR-L,SOMPT22,MOTA,27.551266666666667,8.170344034255548,15,23.02668095226131,32.075852381072025,4.52458571440536
rtdetr,x,nms,RT-DETR-X,MOT17,MOTA,35.548866666666676,14.181921242335594,15,27.695180458734523,43.402552874598825,7.853686207932152
rtdetr,x,nms,RT-DETR-X,MOT20,MOTA,8.640049999999997,9.995277592168213,15,3.104849766640303,14.17525023335969,5.535200233359694
rtdetr,x,nms,RT-DETR-X,SOMPT22,MOTA,27.9732,7.481923608652677,15,23.82984881012974,32.11655118987026,4.143351189870259
yolo11,l,nms,YOLO11-L,MOT17,MOTA,30.916533333333334,15.642159281280586,15,22.254194253142565,39.5788724135241,8.66233908019077
yolo11,l,nms,YOLO11-L,MOT20,MOTA,5.121130000000003,6.6158280352662056,15,1.4574065519022121,8.784853448097794,3.6637234480977905
yolo11,l,nms,YOLO11-L,SOMPT22,MOTA,25.447866666666666,8.127367653856465,15,20.94708047844959,29.948652854883743,4.500786188217077
yolo11,m,nms,YOLO11-M,MOT17,MOTA,31.38493333333333,15.432335511917211,15,22.83879078359756,39.9310758830691,8.546142549735768
yolo11,m,nms,YOLO11-M,MOT20,MOTA,6.363214000000001,8.312347651433809,15,1.7599893035658773,10.966438696434125,4.603224696434124
yolo11,m,nms,YOLO11-M,SOMPT22,MOTA,27.3726,10.085263646953978,15,21.7875671505017,32.957632849498296,5.585032849498296
yolo11,n,nms,YOLO11-N,MOT17,MOTA,28.5836,14.66808595849214,15,20.460684746100227,36.706515253899774,8.122915253899771
yolo11,n,nms,YOLO11-N,MOT20,MOTA,7.474093333333332,7.41371380640602,15,3.368515472901062,11.579671193765602,4.105577860432271
yolo11,n,nms,YOLO11-N,SOMPT22,MOTA,24.302399999999995,9.6981602953491,15,18.931737841298375,29.673062158701615,5.370662158701619
yolo11,s,nms,YOLO11-S,MOT17,MOTA,31.106199999999998,14.128919295443048,15,23.28186529192394,38.93053470807605,7.824334708076059
yolo11,s,nms,YOLO11-S,MOT20,MOTA,7.756886666666666,9.082533392559169,15,2.7271473232208594,12.786626010112471,5.029739343445806
yolo11,s,nms,YOLO11-S,SOMPT22,MOTA,28.14213333333333,11.263793498682066,15,21.904452405764836,34.379814260901824,6.237680927568492
yolo11,x,nms,YOLO11-X,MOT17,MOTA,31.007533333333335,16.7719403804035,15,21.719542334439428,40.295524332227245,9.287990998893907
yolo11,x,nms,YOLO11-X,MOT20,MOTA,5.27216,7.073503192781193,15,1.3549844976376164,9.189335502362384,3.917175502362384
yolo11,x,nms,YOLO11-X,SOMPT22,MOTA,26.74813333333333,9.346550317528667,15,21.5721862901787,31.924080376487964,5.175947043154632
yolo26,l,end2end,YOLO26-L (E2E),MOT17,MOTA,30.914399999999993,16.5827983154662,15,21.731152385401828,40.09764761459816,9.183247614598166
yolo26,l,end2end,YOLO26-L (E2E),MOT20,MOTA,5.203847999999999,6.722379110750897,15,1.4811185330649015,8.926577466935097,3.7227294669350974
yolo26,l,end2end,YOLO26-L (E2E),SOMPT22,MOTA,26.17526666666667,8.774879889016525,15,21.31590015468054,31.034633178652797,4.859366511986129
yolo26,l,nms,YOLO26-L (NMS),MOT17,MOTA,31.12366666666667,16.15637278363586,15,22.176565640448125,40.07076769288521,8.947101026218542
yolo26,l,nms,YOLO26-L (NMS),MOT20,MOTA,5.814600666666668,7.342391577036411,15,1.7485197403625428,9.880681592970793,4.066080926304125
yolo26,l,nms,YOLO26-L (NMS),SOMPT22,MOTA,27.466533333333338,9.858720446289936,15,22.006955926729816,32.92611073993686,5.459577406603524
yolo26,m,end2end,YOLO26-M (E2E),MOT17,MOTA,31.530466666666666,15.946583686378306,15,22.699542970130913,40.36139036320242,8.830923696535752
yolo26,m,end2end,YOLO26-M (E2E),MOT20,MOTA,4.994334666666665,6.792641528774109,15,1.2326951695645985,8.755974163768732,3.761639497102067
yolo26,m,end2end,YOLO26-M (E2E),SOMPT22,MOTA,24.7378,9.300050999860163,15,19.58760342066555,29.88799657933445,5.150196579334453
